Epoch,PRN,PR_Residual
121,2,1.675777
121,5,-3.081576
121,6,-0.361639
121,12,3.322839
121,19,-3.857159
121,24,2.325017
121,25,5.61336
121,29,6.424252
122,2,2.617871
122,5,-2.382726
122,6,0.686016
122,12,4.009675
122,19,-2.773433
122,24,2.10254
122,25,5.787908
122,29,5.89005
123,2,3.380314
123,5,-2.358967
123,6,1.858281
123,12,4.505735
123,19,-1.672705
123,24,1.294633
123,25,6.098133
123,29,5.424458
124,2,2.684054
124,5,-2.992759
124,6,1.530475
124,12,3.782812
124,19,-1.834222
124,24,0.717703
124,25,5.696333
124,29,5.215134
125,2,3.063411
125,5,-3.200624
125,6,2.132469
125,12,4.065022
125,19,-1.373678
125,24,0.241405
125,25,6.011536
125,29,5.149267
126,2,2.818124
126,5,-3.147583
126,6,2.072501
126,12,3.72201
126,19,-1.19751
126,24,0.002897
126,25,5.60217
126,29,4.742087
127,2,2.930405
127,5,-3.354231
127,6,2.43352
127,12,3.73724
127,19,-0.850874
127,24,-0.461146
127,25,5.661444
127,29,4.561665
128,2,3.051362
128,5,-2.379691
128,12,3.504957
128,19,0.150899
128,24,-0.718788
128,25,4.766919
128,29,3.30871
129,2,3.721101
129,5,-0.64153
129,6,2.560479
129,12,4.271647
129,19,4.4e-05
129,24,0.977477
129,25,4.72058
129,29,3.419085
130,2,3.083889
130,5,-0.569428
130,6,2.047912
130,12,3.587511
130,19,-0.136788
130,24,0.920492
130,25,4.003687
130,29,2.985069
131,2,2.576522
131,5,-0.333312
131,6,1.651709
131,12,2.999176
131,19,-0.132324
131,24,0.891564
131,25,3.279675
131,29,2.461712
132,2,2.647786
132,5,0.06923
132,6,1.788521
132,12,2.947263
132,19,0.225171
132,24,0.850935
132,25,2.965286
132,29,2.019521
133,2,2.60329
133,5,-0.745521
133,6,1.989895
133,12,2.942613
133,19,0.154104
133,24,0.302941
133,25,3.377714
133,29,2.341701
134,2,2.183232
134,5,-0.661098
134,6,1.821348
134,12,2.393041
134,19,0.349844
134,24,0.001483
134,25,2.735949
134,29,1.753949
135,2,1.807288
135,5,-1.252891
135,6,1.740736
135,12,2.002019
135,19,0.281825
135,24,-0.513598
135,25,2.638731
135,29,1.709581
136,2,1.603866
136,5,-1.822572
136,6,1.816359
136,12,1.777742
136,19,0.300097
136,24,-1.033557
136,25,2.687696
136,29,1.718205
137,2,1.987565
137,5,-1.868968
137,6,2.364187
137,12,2.060633
137,19,0.756173
137,24,-1.385816
137,25,2.924785
137,29,1.603502
138,2,2.109878
138,5,-1.337697
138,6,2.681564
138,12,1.960456
138,19,1.415276
138,24,-1.618838
138,25,2.444961
138,29,0.855349
139,2,0.8874
139,5,-1.31548
139,6,1.591142
139,12,0.730708
139,19,0.924215
139,24,-1.574612
139,25,1.249622
139,29,0.294097
140,2,0.30079
140,5,-1.731241
140,6,1.182259
140,12,0.167017
140,19,0.642129
140,24,-1.821861
140,25,0.92318
140,29,0.222364
141,2,0.414683
141,5,-1.495055
141,6,1.632414
141,12,0.044079
141,19,1.362019
141,24,-2.337932
141,25,0.555932
141,29,-0.489889
142,2,0.709384
142,5,-1.855609
142,6,1.729495
142,12,0.502269
142,19,1.030838
142,24,-2.15447
142,25,1.264897
142,29,0.224461
143,2,2.836724
143,5,-0.825022
143,6,2.716528
143,12,2.910044
143,19,1.019875
143,24,-0.561364
143,25,3.239629
143,29,1.696569
144,2,3.915758
144,5,-0.48356
144,6,3.589733
144,12,3.96776
144,19,1.503558
144,24,-0.388156
144,25,4.07943
144,29,2.013822
145,2,4.139825
145,5,-1.597194
145,6,4.063575
145,12,4.272828
145,19,1.43447
145,24,-1.059862
145,25,4.960767
145,29,2.669209
146,2,0.705924
146,5,-3.954354
146,6,2.410684
146,12,0.558187
146,19,0.989152
146,24,-3.674605
146,25,2.374925
146,29,1.004187
147,2,-0.448483
147,5,-4.468493
147,6,1.981725
147,12,-0.817159
147,19,1.186101
147,24,-4.701
147,25,1.177328
147,29,-0.003925
148,2,-0.08028
148,5,-4.583864
148,6,1.856435
148,12,-0.181405
148,19,0.562116
148,24,-4.010136
148,25,1.998046
148,29,0.981945
149,2,0.045621
149,5,-4.900092
149,6,1.785496
149,12,0.107003
149,19,0.157103
149,24,-3.784957
149,25,2.522727
149,29,1.609823
150,2,0.223494
150,5,-4.741853
150,6,2.017109
150,12,0.211879
150,19,0.428247
150,24,-3.877286
150,25,2.506392
150,29,1.432706
151,2,-0.11972
151,5,-5.164551
151,6,1.751968
151,12,-0.068617
151,19,0.126633
151,24,-4.016219
151,25,2.478846
151,29,1.591156
152,2,0.279401
152,5,-4.754951
152,6,1.831215
152,12,0.395262
152,19,0.072447
152,24,-3.505302
152,25,2.763738
152,29,1.843505
153,2,1.348871
153,5,-3.84096
153,6,2.059035
153,12,1.670024
153,19,-0.144968
153,24,-2.197216
153,25,3.663186
153,29,2.658115
154,2,3.28288
154,5,-1.771316
154,6,3.143085
154,12,3.528498
154,19,0.740464
154,24,-0.825367
154,25,4.402582
154,29,2.695034
155,2,2.355276
155,5,-1.52272
155,6,2.09773
155,12,2.667345
155,19,0.149706
155,24,-0.391709
155,25,3.489855
155,29,2.407148
156,2,1.443721
156,5,-1.305748
156,6,1.385476
156,12,1.656481
156,19,0.049937
156,24,-0.475654
156,25,2.354269
156,29,1.648861
157,2,2.554761
157,5,-0.386572
157,6,2.348103
157,12,2.595727
157,19,0.949304
157,24,-0.287682
157,25,2.714494
157,29,1.371434
158,2,2.977682
158,5,-0.615993
158,6,2.83737
158,12,3.004147
158,19,1.176098
158,24,-0.530964
158,25,3.212889
158,29,1.58651
159,2,3.127351
159,5,0.00194
159,6,2.525739
159,12,3.269247
159,19,0.866566
159,24,0.30111
159,25,3.232108
159,29,1.8097
160,2,3.588543
160,5,0.725825
160,6,2.208014
160,12,3.978623
160,19,0.294845
160,24,1.597781
160,25,3.702462
160,29,2.527595
161,2,2.979808
161,5,0.452829
161,6,2.374926
161,12,3.040452
161,19,1.015706
161,24,0.427324
161,25,2.746205
161,29,1.374089
162,2,2.400874
162,5,-0.038623
162,6,2.510571
162,12,2.207339
162,19,1.541441
162,24,-0.69557
162,25,2.040583
162,29,0.519798
163,2,2.798475
163,5,-0.073766
163,6,2.979491
163,12,2.549499
163,19,1.864651
163,24,-0.902642
163,25,2.357521
163,29,0.547545
164,2,3.255006
164,5,1.009521
164,6,2.937939
164,12,3.030401
164,19,1.923357
164,24,0.017667
164,25,2.305218
164,29,0.499391
165,2,3.722586
165,5,2.470788
165,6,3.251591
165,12,3.259193
165,19,2.73094
165,24,0.460689
165,25,1.676403
165,29,-0.427349
166,2,3.661215
166,5,3.41432
166,6,2.890297
166,12,3.174597
166,24,1.145965
166,25,1.119143
166,29,-0.807704
167,2,3.151715
167,5,3.810241
167,6,2.209761
167,12,2.709217
167,19,2.375132
167,24,1.609571
167,25,0.499983
167,29,-1.028683
168,2,2.85625
168,5,4.286167
168,6,1.570721
168,12,2.523126
168,19,1.918515
168,24,2.320502
168,25,0.147488
168,29,-0.98861
169,2,2.920453
169,5,4.893456
169,6,1.138633
169,12,2.732221
169,19,1.500187
169,24,3.225934
169,25,0.131872
169,29,-0.724424
170,2,3.390014
170,5,5.192993
170,6,1.349234
170,12,3.255391
170,19,1.524963
170,24,3.600826
170,25,0.519871
170,29,-0.450931
171,2,3.477654
171,5,5.960228
171,6,1.156089
171,12,3.337912
171,19,1.544372
171,24,4.188432
171,25,0.219136
171,29,-0.664107
172,2,3.357592
172,5,6.092969
172,6,1.28298
172,12,3.065368
172,19,1.934241
172,24,3.845389
172,25,-0.195301
172,29,-1.206434
