Epoch,PRN,PR_Residual
121,5,-9.713698390622604
121,10,25.918346852422516
121,13,-27.50302227999149
121,15,-35.604743491459345
121,18,1.6359423963187396
121,20,0.32350400238985344
121,25,-4.394097943805406
121,26,31.280732780728194
121,29,-37.85189910937952
122,5,2.777349734322506
122,10,39.09342851804412
122,13,-13.34708829633037
122,15,-18.50000497938072
122,18,16.396721185329863
122,20,16.76251447101304
122,26,45.64441265597866
122,29,-20.88437015811423
123,5,-0.037196313978352435
123,10,32.56303669252845
123,13,-16.74551208349971
123,15,-23.63160226775021
123,18,8.941461308430618
123,20,9.161432444377251
123,26,37.636008901463335
123,29,-27.748771591054386
124,5,-0.5128659619479947
124,10,29.39431247770301
124,13,-17.351248557946057
124,15,-26.62572801336514
124,18,3.6220677862935773
124,20,3.3390511317792857
124,26,32.95342899007385
124,29,-32.01070635373139
125,5,-21.529497248433508
125,10,1.2621215112420545
125,13,-47.30505309426511
125,15,-58.52035768921634
125,18,-15.443752322787224
125,20,-23.832305027721674
125,26,15.767892342520584
125,29,-59.04232367337943
126,5,-12.307471059889243
126,10,12.220147493880589
126,13,-27.18771865979037
126,15,-37.71154786675112
126,18,-12.62779256809176
126,20,-14.987171851147247
126,26,14.339411612451329
126,29,-44.3032016326895
127,5,-22.5567587979032
127,10,0.919667530414765
127,13,-48.34872570700159
127,15,-59.50341949277892
127,18,-16.02671154712575
127,20,-23.97569400004496
127,26,14.960443954567937
127,29,-59.0005376881133
128,5,26.194713217846047
128,10,47.10503416116105
128,13,8.909208317435017
128,15,1.6071869380316315
128,18,25.855413298689882
128,20,23.06559653977327
128,26,51.373649574942576
128,29,-6.095023519463801
129,5,11.01636407604197
129,10,34.79009549021374
129,13,-5.512253190466616
129,15,-15.719525176509151
129,18,10.214324097903823
129,20,8.202746980247536
129,26,38.87656125114278
129,29,-23.18974976295395
130,5,-12.851867634512368
130,10,8.164006743909091
130,13,-24.19809265080162
130,15,-40.27513562989499
130,18,-15.6956420360869
130,20,-17.083584071464585
130,26,11.927708023493338
130,29,-44.55473535283377
131,5,-11.905886707063523
131,10,4.692846295800648
131,13,-29.572376988540448
131,15,-41.09757215787716
131,18,-17.035178243917677
131,20,-19.385795603301354
131,26,9.731330588399604
131,29,-48.63490025796304
132,5,14.029893209792927
132,10,38.2272235171371
132,13,-0.8147046383884557
132,15,-9.868171284639473
132,18,11.304100275806778
132,20,10.984556307947987
132,26,36.57398348705389
132,29,-17.987828917159035
133,5,52.51060927657856
133,10,75.56558114723069
133,13,38.19043075189734
133,15,27.998532524529352
133,18,49.30046533712755
133,20,49.6910400625542
133,26,75.97613427085533
133,29,18.788024067088294
134,5,24.39750818759872
134,10,48.9591117514302
134,13,10.266692627808702
134,15,3.2963553183111216
134,18,22.583460418451235
134,20,23.23653882803492
134,26,46.09721232680479
134,29,-5.118829697030158
135,5,67.82133808912266
135,10,91.68067362233617
135,13,55.06090809789064
135,15,43.66742918769196
135,18,66.64138542733124
135,20,66.5177178333247
135,26,92.4667770843949
135,29,35.474753278521405
136,5,11.765792201411703
136,10,36.58053819765706
136,13,-0.8528883247373003
136,15,-12.219794493927765
136,18,9.657720149515796
136,20,9.767774496978952
136,26,34.70507436504103
136,29,-20.18810794886192
137,5,10.571118110551417
137,10,42.07464609351183
137,13,-1.3272213398282133
137,15,-6.400675547901237
137,18,14.786661671200989
137,20,17.920913466858902
137,26,37.96855529178594
137,29,-13.15315809653508
138,5,44.12580788369439
138,10,66.70511378116835
138,13,29.809054181055146
138,15,20.50656236390047
138,18,39.94933828712343
138,20,41.08411155710259
138,26,66.12257546005684
138,29,10.631830864611999
139,5,41.21803915129112
139,10,67.21839793934001
139,13,27.55316679767091
139,15,20.289780414022367
139,18,39.15293990849656
139,20,40.014098907619854
139,26,62.8526625021256
139,29,10.085014114562895
140,5,0.5457258873320932
140,10,28.291153791906506
140,13,-15.077691907146622
140,15,-23.284363693245794
140,18,0.4854044240773838
140,20,3.8499876130142887
140,26,25.93869252927985
140,29,-26.58788605134295
141,5,-8.955729547373686
141,10,17.648083982492082
141,13,-24.60981028159476
141,15,-33.159788348853056
141,18,-9.862054098899012
141,20,-7.693822191324678
141,26,16.32104738070441
141,29,-40.750701918061395
142,5,-23.282600193865427
142,10,7.886917474210216
142,13,-45.11250815747601
142,15,-51.586795655500225
142,18,-17.523593064686466
142,20,-18.541128885344165
142,26,12.437050031413506
142,29,-55.506433507005745
143,5,-12.958383060275255
143,10,14.285921856328493
143,13,-27.926832650435507
143,15,-36.28523892929132
143,18,-15.442312264644348
143,20,-11.669196027426803
143,26,12.083337341100147
143,29,-44.61621041091979
144,5,-12.760298950117976
144,10,13.367376721193345
144,13,-27.932394871343917
144,15,-35.97758215584427
144,18,-13.893755317805631
144,20,-12.107890823170685
144,26,13.270965348477286
144,29,-42.698868199947576
145,5,-13.158353722710528
145,13,-29.095611810824963
145,15,-38.04857897035133
145,18,-16.04033402419622
145,20,-15.936043828519535
145,26,11.735546072552044
145,29,-45.30663317641907
146,5,15.97787293725451
146,10,43.53084735513784
146,13,6.129424231527061
146,15,0.6963813515066732
146,18,16.028407251414247
146,20,18.876354755994935
146,26,37.871847717990654
146,29,-8.845363951097447
147,5,61.153097278710554
147,13,49.59478994115293
147,15,39.77901980285067
147,16,101.91954802748873
147,18,54.753711901129485
147,20,55.40645895118612
147,26,79.12705132094293
147,29,28.336930533392362
148,5,61.588336899391805
148,13,50.552507945054224
148,15,42.69247207289592
148,18,57.971700081326816
148,20,58.351135741951005
148,26,80.52434616045977
148,29,30.97252383376069
149,5,57.1875581117585
149,13,46.107538080089206
149,15,39.25955445128479
149,18,53.66878554471329
149,20,54.291831662634664
149,26,75.60597006365856
149,29,27.465978279485732
150,5,13.995288560064811
150,13,3.2361452909778876
150,15,-2.394102888508293
150,18,12.927153902820042
150,20,15.693582658166978
150,26,33.639973693114335
150,29,-11.536429514203334
151,5,69.92601114261869
151,13,60.237890318397476
151,15,48.41936500418658
151,18,67.11073149457688
151,20,66.78831776683845
151,26,91.73910478851293
151,29,39.31853316982715
152,5,11.725010055861013
152,10,33.35965140860425
152,13,-0.2523376083737858
152,15,-7.768498849190742
152,18,7.948393279455313
152,20,7.174272750422851
152,25,10.918129856407727
152,26,29.286937329497015
152,29,-16.867056848643223
153,5,20.988104829347854
153,13,10.400386231358077
153,15,2.9509495616962056
153,18,16.12046920391165
153,20,15.896669005277449
153,25,19.769959364529765
153,26,37.25855753112398
153,29,-5.7494902808498125
154,5,24.066235314024357
154,10,43.09067200063023
154,13,13.163754468599151
154,15,6.366174187883608
154,16,62.53691841862108
154,18,18.560602566154238
154,20,19.353963125345643
154,26,39.45765651035886
154,29,-2.79999480635437
155,5,6.532960817000674
155,10,29.001115341461038
155,13,-4.0653601540013256
155,15,-11.049733382257543
155,18,5.807673806952494
155,20,6.758516352842097
155,26,27.328812448994277
155,29,-18.70695699467018
156,5,-12.663739366531056
156,10,8.069688928575959
156,13,-22.75007927495045
156,15,-31.423862008332513
156,18,-16.197884786282984
156,20,-14.841806254993726
156,26,8.060829654293155
156,29,-41.553424518985516
157,5,22.849734008075266
157,10,40.96113518803671
157,13,11.892451425837315
157,15,1.9999813645207638
157,18,17.868940392929364
157,20,17.459412938136794
157,25,20.416475982884204
157,26,41.10707451321573
157,29,-8.705636026037581
158,5,-9.69227417348438
158,10,-5.526947398610935
158,13,-23.0636062531947
158,15,-36.21163243933336
158,18,-23.551011225629388
158,20,-25.3919547370933
158,26,-1.7796054664812075
158,29,-45.0105342089872
159,5,59.790982763696164
159,10,79.84906792534925
159,13,50.244886751800166
159,15,42.59612110761597
159,18,55.55099484835124
159,20,55.91919159593684
159,26,79.7807157924781
159,29,30.603421457992162
160,5,34.5833181288191
160,10,47.402216882186124
160,13,24.028457356799727
160,15,14.560920105469485
160,18,27.560520815679496
160,20,26.29161724457802
160,25,29.081480003945774
160,26,50.60122536971556
160,29,3.1474140258865475
161,5,0.5569334909048997
161,10,7.012073851382321
161,13,-13.148371290038021
161,15,-25.54499481752041
161,18,-10.078330189959985
161,20,-12.499198434373254
161,25,-10.15236840105594
161,26,10.54330827221943
161,29,-32.9779007394185
162,5,-11.7444226814519
162,10,5.199212413603519
162,13,-19.36603319308304
162,15,-27.02351952858428
162,16,16.944859231077174
162,18,-18.26191489864126
162,20,-15.304526579829004
162,25,-10.680147201072666
162,26,0.8528728366754157
162,29,-36.94878197358638
163,5,-12.644872436398094
163,10,7.520448774303648
163,13,-20.02207685453748
163,15,-27.440032849832193
163,18,-17.172951220252138
163,20,-13.045199136030314
163,25,-9.149485425897277
163,26,3.3195428165821426
163,29,-36.55214834985772
164,5,-9.333776680538739
164,10,11.236208899056049
164,13,-19.46540860879034
164,15,-26.414326335942242
164,18,-12.556525841961614
164,20,-9.966793570255014
164,25,-5.772754932727356
164,26,9.742298183030375
164,29,-34.91850591387682
165,5,-0.2624472519560648
165,10,15.199017948938616
165,13,-12.899782081448372
165,15,-20.391796868562423
165,18,-5.806848783569961
165,20,-5.945062490026309
165,25,-0.9776932818656583
165,26,16.243561568865058
165,29,-28.132047256250026
166,5,-12.201074371336523
166,10,5.923035445042163
166,13,-20.174028531353812
166,15,-27.9916265256092
166,18,-17.592186164118218
166,20,-13.664178357881235
166,25,-9.646313703036846
166,26,2.2956071014737587
166,29,-35.8947284454475
167,5,-2.270858290853319
167,10,11.576468853097492
167,13,-13.90554996311009
167,15,-21.899542275832744
167,16,26.856430310567738
167,18,-7.975763181645405
167,20,-7.546411876017757
167,25,-3.0018788358273483
167,26,12.765431551129229
167,29,-29.353219906636838
168,5,10.45994550799806
168,10,20.873950720504283
168,13,-1.2507194875471228
168,15,-10.58010700550632
168,16,37.13139044853867
168,18,1.8960369338361929
168,20,1.4986847758408857
168,25,4.704394326474738
168,26,22.23335953918349
168,29,-17.913343195523026
169,5,13.842217287642569
169,10,22.36677202438004
169,13,2.3346874556165496
169,15,-7.0733511924591
169,18,4.701573198470577
169,20,3.6073069781746874
169,25,6.606962040365715
169,26,24.14993860155105
169,29,-13.991816744936045
170,5,12.449556462407473
170,10,18.935421489282685
170,13,1.5634786864637569
170,15,-8.30962915021594
170,18,2.474154327231176
170,20,0.5323232488803455
170,25,4.021764501744261
170,26,21.204739328669916
170,29,-15.562896380551202
171,5,16.67714742658202
171,10,20.949690346139974
171,13,5.838110038669946
171,15,-3.6338960765831487
171,16,38.23937496811614
171,18,5.507120863053597
171,20,3.02763128838199
171,25,6.255818117689056
171,26,23.582097413212065
171,29,-11.071660100344879
172,5,10.102021324008504
172,10,15.294226546460903
172,13,-0.10041206634698696
172,15,-8.862615795075953
172,18,0.2725976147567124
172,20,-1.416698707249548
172,25,2.8223226627904623
172,26,17.835343745244046
172,29,-16.332436342579214
173,5,7.7210379546785095
173,10,13.134710233621242
173,13,-2.2517609396615157
173,15,-10.56973693163085
173,18,-1.2761732157872139
173,20,-2.5236527385944463
173,25,1.6087425068379595
173,26,15.125919492323693
173,29,-17.462542599607595
174,5,0.17190750859229276
174,10,5.404609662270133
174,13,-7.9502565332100215
174,15,-15.638080130821056
174,18,-8.505708767809514
174,20,-8.973627200798113
174,25,-5.691912920231275
174,26,7.277624373113502
174,29,-22.873595626708877
175,5,7.158401455664128
175,10,10.368100284652396
175,13,-2.345123070982087
175,15,-9.564824513685451
175,18,-1.6882167894053062
