Epoch,PRN,PR_Residual
121,5,-35.156219
121,10,3.697131
121,13,-53.915414
121,15,-60.913527
121,18,-22.089861
121,20,-22.273252
121,25,-26.600651
121,26,7.521582
121,29,-61.674234
122,5,-32.8792
122,10,1.156489
122,13,-51.42819
122,15,-59.666188
122,18,-23.675571
122,20,-24.683194
122,26,5.238618
122,29,-61.429906
123,5,-30.313261
123,10,-1.905011
123,13,-48.490436
123,15,-58.229478
123,18,-26.009478
123,20,-27.809417
123,26,2.147924
123,29,-61.471559
124,5,-28.933166
124,10,-3.65578
124,13,-46.68639
124,15,-57.25856
124,18,-27.757345
124,20,-29.762138
124,26,-0.041758
124,29,-61.659207
125,5,-28.083584
125,10,-4.679851
125,13,-45.492905
125,15,-56.527126
125,18,-28.844833
125,20,-30.896574
125,26,-1.449145
125,29,-61.687774
126,5,-27.998707
126,10,-4.683779
126,13,-45.151857
126,15,-56.126247
126,18,-29.067803
126,20,-30.911318
126,26,-1.814214
126,29,-61.530566
127,5,-28.073173
127,10,-4.522582
127,13,-45.014632
127,15,-55.856351
127,18,-29.16549
127,20,-30.770188
127,26,-1.989958
127,29,-61.411891
128,5,-27.978883
128,10,-4.545478
128,13,-44.677908
128,15,-55.473064
128,18,-29.391759
128,20,-30.805173
128,26,-2.353168
128,29,-61.26737
129,5,-28.236743
129,10,-4.404116
129,13,-44.689662
129,15,-55.389096
129,18,-29.851265
129,20,-30.898959
129,26,-2.765569
129,29,-61.529957
130,5,-28.233514
130,10,-4.459136
130,13,-44.424087
130,15,-55.109185
130,18,-30.302806
130,20,-31.092364
130,26,-3.284435
130,29,-61.610478
131,5,-28.460299
131,10,-4.153168
131,13,-44.440442
131,15,-54.923836
131,18,-30.359303
131,20,-30.840884
131,26,-3.366409
131,29,-61.54811
132,5,-28.793699
132,10,-3.801909
132,13,-44.633753
132,15,-54.916983
132,18,-30.401565
132,20,-30.58993
132,26,-3.352576
132,29,-61.618039
133,5,-28.837731
133,10,-3.666931
133,13,-44.54522
133,15,-54.7225
133,18,-30.398875
133,20,-30.437728
133,26,-3.412626
133,29,-61.484811
134,5,-28.83015
134,10,-3.557156
134,13,-44.451309
134,15,-54.539238
134,18,-30.304359
134,20,-30.262686
134,26,-3.392043
134,29,-61.294944
135,5,-28.78703
135,10,-3.49918
135,13,-44.288317
135,15,-54.308359
135,18,-30.296703
135,20,-30.158189
135,26,-3.474912
135,29,-61.119871
136,5,-28.677038
136,10,-3.363143
136,13,-44.082069
136,15,-53.976705
136,18,-30.009228
136,20,-29.834452
136,26,-3.346804
136,29,-60.691402
137,5,-28.816856
137,10,-3.105449
137,13,-44.044526
137,15,-53.760604
137,18,-29.980421
137,20,-29.571079
137,26,-3.374844
137,29,-60.541007
138,5,-28.583811
138,10,-3.187197
138,13,-43.630526
138,15,-53.326477
138,18,-30.024921
138,20,-29.550729
138,26,-3.611139
138,29,-60.226834
139,5,-28.587412
139,10,-3.056655
139,13,-43.516425
139,15,-53.105331
139,18,-29.949083
139,20,-29.360163
139,26,-3.619716
139,29,-60.023343
140,5,-28.450287
140,10,-3.012958
140,13,-43.219012
140,15,-52.725911
140,18,-29.877045
140,20,-29.200473
140,26,-3.712622
140,29,-59.689997
141,5,-28.081724
141,10,-3.263646
141,13,-42.704696
141,15,-52.285584
141,18,-29.985924
141,20,-29.338754
141,26,-4.033036
141,29,-59.390886
142,5,-27.736744
142,10,-3.602324
142,13,-42.12439
142,15,-51.823261
142,18,-30.413385
142,20,-29.693933
142,26,-4.652369
142,29,-59.276192
143,5,-27.482805
143,10,-3.789541
143,13,-41.668722
143,15,-51.408429
143,18,-30.65113
143,20,-29.85263
143,26,-5.064073
143,29,-59.09144
144,5,-27.184723
144,10,-4.066144
144,13,-41.172521
144,15,-51.004524
144,18,-30.984826
144,20,-30.128684
144,26,-5.567894
144,29,-58.966905
145,5,-26.827644
145,13,-40.716173
145,15,-50.660727
145,18,-31.131297
145,20,-30.340829
145,26,-5.886427
145,29,-58.760541
146,5,-26.63248
146,10,-4.47384
146,13,-40.334984
146,15,-50.285244
146,18,-31.300375
146,20,-30.419639
146,26,-6.210853
146,29,-58.569773
147,5,-26.457619
147,13,-40.015803
147,15,-49.94113
147,16,14.008656
147,18,-31.324486
147,20,-30.386164
147,26,-6.386421
147,29,-58.31474
148,5,-26.364413
148,13,-39.813381
148,15,-49.646297
148,18,-31.17363
148,20,-30.176398
148,26,-6.36866
148,29,-57.998633
149,5,-26.150455
149,13,-39.506863
149,15,-49.293522
149,18,-30.998214
149,20,-30.014852
149,26,-6.369294
149,29,-57.608883
150,5,-26.011016
150,13,-39.299783
150,15,-49.056293
150,18,-30.901382
150,20,-29.917446
150,26,-6.388173
150,29,-57.359783
151,5,-25.884685
151,13,-39.036805
151,15,-48.756932
151,18,-30.929008
151,20,-29.871822
151,26,-6.542729
151,29,-57.145482
152,5,-25.187295
152,10,-4.792606
152,13,-38.469617
152,15,-48.304851
152,18,-30.295737
152,20,-29.696728
152,25,-27.211977
152,26,-6.236266
152,29,-56.333462
153,5,-25.096012
153,13,-38.185471
153,15,-47.940912
153,18,-30.339102
153,20,-29.598769
153,25,-26.986558
153,26,-6.423221
153,29,-56.088597
154,5,-25.012945
154,10,-4.703479
154,13,-37.936906
154,15,-47.615396
154,16,13.122665
154,18,-30.348304
154,20,-29.488796
154,26,-6.563182
154,29,-55.850903
155,5,-24.943609
155,10,-4.623177
155,13,-37.679978
155,15,-47.258147
155,18,-30.345469
155,20,-29.340555
155,26,-6.701281
155,29,-55.585389
156,5,-24.662113
156,10,-4.75207
156,13,-37.187235
156,15,-46.761315
156,18,-30.44239
156,20,-29.367566
156,26,-7.018021
156,29,-55.252009
157,5,-24.633704
157,10,-4.696689
157,13,-36.950838
157,15,-46.443475
157,18,-30.575909
157,20,-29.313919
157,25,-26.15915
157,26,-7.261171
157,29,-55.103929
158,5,-25.036631
158,10,-4.037533
158,13,-37.03287
158,15,-46.101291
158,18,-30.380316
158,20,-28.634589
158,26,-7.136288
158,29,-54.798616
159,5,-25.070162
159,10,-3.98487
159,13,-37.004931
