Epoch,PRN,Raw_Pseudorange,CN0,Elevation
121,5,23557717.446812,28.7,0.357868
121,10,24974535.106727,22.6,0.164554
121,13,23636967.87243,31.8,0.33961
121,15,22630688.415064,34.4,0.518599
121,18,20788671.21121,29.5,1.040762
121,20,21873599.131483,28.2,0.722533
121,25,23694546.924988,21.2,0.382821
121,26,22447441.776505,27.4,0.593612
121,29,20527488.130979,37.4,1.205215
122,5,23558353.158244,32.6,0.357753
122,10,24973836.434909,19.9,0.164671
122,13,23636703.623783,30.1,0.339652
122,15,22630228.985731,36.9,0.518681
122,18,20788503.793821,31.0,1.040836
122,20,21873079.760652,30.1,0.722664
122,26,22447324.406341,28.6,0.593653
122,29,20527644.48493,37.7,1.205118
123,5,23558989.759638,33.6,0.35764
123,10,24973172.838029,22.4,0.164786
123,13,23636447.140482,28.0,0.339697
123,15,22629773.74445,37.3,0.518768
123,18,20788332.746786,31.9,1.040903
123,20,21872548.366622,28.4,0.722792
123,26,22447189.65576,29.0,0.593685
123,29,20527804.102072,37.7,1.205027
124,5,23559625.663022,34.4,0.357525
124,10,24972506.449114,21.1,0.164901
124,13,23636192.053199,27.3,0.339742
124,15,22629314.50707,37.2,0.518854
124,18,20788150.810816,29.9,1.040968
124,20,21872025.854752,29.1,0.72292
124,26,22447057.173706,30.6,0.593717
124,29,20527957.943191,37.5,1.204936
125,5,23560269.80291,35.0,0.35741
125,10,24971807.812196,19.9,0.165017
125,13,23635925.134669,26.7,0.339787
125,15,22628857.503318,37.9,0.518941
125,18,20787977.722106,30.3,1.041034
125,20,21871495.717137,30.3,0.723049
125,26,22446934.149671,30.9,0.593748
125,29,20528114.628696,37.6,1.204845
126,5,23560910.016498,35.9,0.357296
126,10,24971139.137303,19.2,0.165131
126,13,23635653.975735,26.9,0.339832
126,15,22628407.985709,36.2,0.519026
126,18,20787800.11379,29.8,1.0411
126,20,21870967.638648,29.4,0.723176
126,26,22446796.100999,26.3,0.59378
126,29,20528269.167825,37.7,1.204753
127,5,23561546.111835,35.9,0.357182
127,10,24970450.447009,20.8,0.165246
127,13,23635408.084717,22.6,0.339877
127,15,22627941.436687,35.8,0.519114
127,18,20787627.949942,31.0,1.041165
127,20,21870441.741436,30.3,0.723305
127,26,22446666.533132,26.7,0.593811
127,29,20528424.998269,37.9,1.204663
128,5,23562191.68264,36.4,0.357067
128,10,24969765.543413,20.4,0.165362
128,13,23635123.698519,23.4,0.339922
128,15,22627483.176519,36.2,0.5192
128,18,20787451.49334,32.0,1.041231
128,20,21869918.426856,31.1,0.723434
128,26,22446525.448122,27.1,0.593843
128,29,20528579.205843,38.4,1.204572
129,5,23562829.505549,36.3,0.356952
129,10,24969077.987384,17.9,0.165477
129,13,23634866.342708,21.9,0.339967
129,15,22627028.84265,36.2,0.519287
129,18,20787280.184553,31.8,1.041297
129,20,21869387.050276,30.4,0.723562
129,26,22446392.494913,26.4,0.593875
129,29,20528737.671271,37.9,1.20448
130,5,23563473.226631,36.2,0.356838
