Epoch,PRN,PR_Residual
121,2,7.705789
121,5,-6.033292
121,6,8.798213
121,12,7.083137
121,19,3.822954
121,24,-5.122606
121,25,8.908277
121,29,3.036377
122,2,7.695434
122,5,-5.946475
122,6,8.799174
122,12,7.05393
122,19,3.88267
122,24,-5.111167
122,25,8.811858
122,29,2.939354
123,2,7.732774
123,5,-5.802962
123,6,8.807188
123,12,7.080186
123,19,3.940645
123,24,-5.039731
123,25,8.736014
123,29,2.8605
124,2,7.766821
124,5,-5.719963
124,6,8.836837
124,12,7.099011
124,19,4.003404
124,24,-5.019122
124,25,8.686338
124,29,2.792176
125,2,8.041413
125,5,-5.436939
125,6,8.955097
125,12,7.381803
125,19,4.096705
125,24,-4.792862
125,25,8.761833
125,29,2.798793
126,2,8.195904
126,5,-5.160646
126,6,8.993586
126,12,7.538525
126,19,4.168613
126,24,-4.593635
126,25,8.728762
126,29,2.747071
127,2,8.182989
127,5,-5.161225
127,6,9.001013
127,12,7.5147
127,19,4.192023
127,24,-4.620362
127,25,8.699933
127,29,2.713119
128,2,8.175046
128,5,-5.168348
128,6,8.99839
128,12,7.504
128,19,4.190273
128,24,-4.630361
128,25,8.695759
128,29,2.711494
129,2,8.113093
129,5,-5.27732
129,6,8.966506
129,12,7.44673
129,19,4.133797
129,24,-4.691587
129,25,8.724325
129,29,2.761115
130,2,7.891471
130,5,-5.661355
130,6,8.844162
130,12,7.250175
130,19,3.923711
130,24,-4.890994
130,25,8.830412
130,29,2.945739
131,2,7.728425
131,5,-6.036597
131,6,8.725184
131,12,7.132787
131,19,3.66812
131,24,-5.028511
131,25,9.021828
131,29,3.217043
132,2,8.251186
132,5,-6.485416
132,6,9.479306
132,12,7.533056
132,19,4.164408
132,24,-5.601197
132,25,9.495578
132,29,3.180708
133,2,8.988504
133,5,-5.84808
133,6,8.949365
133,12,8.755847
133,19,2.939786
133,24,-3.905132
133,25,10.701514
133,29,4.814852
134,2,8.894613
134,5,-5.585093
134,6,8.667251
134,12,8.733253
134,19,2.709488
134,24,-3.555146
134,25,10.607097
134,29,4.918457
135,2,8.548292
135,5,-5.974276
135,6,8.195547
135,12,8.544266
135,19,2.035514
135,24,-3.42875
135,25,10.878599
135,29,5.51449
136,2,8.337955
136,5,-6.28031
136,6,7.822888
136,12,8.483159
136,19,1.443099
136,24,-3.260428
136,25,11.196376
136,29,6.092897
137,2,8.231159
137,5,-6.389179
137,6,7.508419
137,12,8.510213
137,19,0.960233
137,24,-2.996116
137,25,11.447685
137,29,6.567597
138,2,8.292271
138,5,-6.336934
138,6,7.287496
138,12,8.702391
138,19,0.563572
138,24,-2.624039
138,29,7.018929
139,2,8.483409
139,5,-5.994423
139,6,7.176107
139,12,8.980684
139,19,0.389346
139,24,-2.166612
139,25,11.861142
139,29,7.236744
140,2,8.571366
140,5,-5.825802
140,6,7.226985
140,12,9.052937
140,19,0.4845
140,24,-2.089657
140,25,11.802209
140,29,7.145935
141,2,8.629797
141,5,-5.834306
141,6,7.098192
141,12,9.201664
141,19,0.208898
141,24,-1.861446
141,25,12.042039
141,29,7.483748
142,2,8.433616
142,5,-6.485515
142,6,6.795268
142,12,9.170549
142,19,-0.477601
142,24,-1.877002
142,25,12.618554
142,29,8.274113
143,2,8.319154
143,5,-6.524028
143,6,6.567439
143,12,9.132148
143,19,-0.769257
143,24,-1.714134
143,25,12.70306
143,29,8.517895
144,2,8.204834
144,5,-6.458757
144,6,6.430589
144,12,9.032411
144,19,-0.850946
144,24,-1.639443
144,25,12.599193
144,29,8.506447
145,2,7.663248
145,5,-6.144299
145,6,6.008867
145,12,8.448011
145,19,-0.854806
145,24,-1.572346
145,25,11.864543
145,29,8.041837
146,2,7.132767
146,5,-5.732978
146,6,5.364086
146,12,7.98316
146,19,-1.184416
146,24,-1.167515
146,25,11.296503
146,29,7.905078
147,2,7.13784
147,5,-6.023343
147,6,5.439181
147,12,7.988212
147,19,-1.230725
147,24,-1.354114
147,25,11.485296
147,29,8.043321
148,2,7.18729
148,5,-5.845512
148,6,5.298521
148,12,8.105823
148,19,-1.411303
148,24,-1.062048
148,25,11.556195
148,29,8.21823
149,2,6.879701
149,5,-5.727904
149,6,4.78018
149,12,7.927715
149,19,-1.911332
149,24,-0.674296
149,25,11.487017
149,29,8.50497
150,2,6.282198
150,5,-5.247576
150,6,4.091001
150,12,7.383542
150,19,-2.210823
150,24,-0.260729
150,25,10.793139
150,29,8.269195
151,2,5.991553
151,5,-5.155488
151,6,3.609842
151,12,7.213546
151,19,-2.679701
151,24,0.0886
151,25,10.735751
151,29,8.541841
152,2,6.32828
152,5,-5.078739
152,6,4.001127
152,12,7.470077
152,19,-2.30958
152,24,-0.044495
152,25,10.813162
152,29,8.356582
153,2,6.777813
153,5,-4.226013
153,6,4.321581
153,12,7.819261
153,19,-1.7231
153,24,0.278765
153,25,10.459182
153,29,7.790063
154,2,6.508808
154,5,-3.246063
154,6,4.358371
154,12,7.290965
154,19,-0.84686
154,24,0.242099
154,25,9.099382
154,29,6.377567
155,2,6.464842
155,5,-2.116193
155,6,4.361324
155,12,7.077204
155,19,-0.156701
155,24,0.539864
155,25,8.014715
155,29,5.276508
156,2,6.783096
156,5,-2.066318
156,6,4.687094
156,12,7.346188
156,19,0.107205
156,24,0.465217
156,25,8.155084
156,29,5.200355
157,2,6.296069
157,5,-1.830022
157,6,4.251936
157,12,6.858121
157,19,-0.014606
157,24,0.587685
157,25,7.595332
157,29,4.923229
158,2,6.300505
158,5,-1.739788
158,6,4.094934
158,12,6.934129
158,19,-0.228551
158,24,0.826294
158,25,7.687982
158,29,5.128713
159,2,6.406562
159,5,-1.218825
159,6,3.825151
159,12,7.155609
159,19,-0.481467
159,24,1.457665
159,25,7.683767
159,29,5.320017
160,2,6.501945
160,5,-0.704313
160,6,4.061466
160,12,7.097589
160,19,0.1124
160,24,1.406039
160,25,7.134426
160,29,4.599923
161,2,6.531768
161,5,-0.502313
161,6,4.154839
161,12,7.063572
161,19,0.35363
161,24,1.375653
161,25,6.905882
161,29,4.303369
162,2,6.346808
162,5,-0.208089
162,6,4.069007
162,12,6.809829
162,19,0.555767
162,24,1.380076
162,25,6.427653
162,29,3.872527
163,2,6.268016
163,5,-0.438625
163,6,4.542161
163,12,6.480336
163,19,1.284813
163,24,0.595807
163,25,6.004306
163,29,3.105624
164,2,5.923665
164,5,-0.710478
164,6,4.589652
164,12,6.006421
164,19,1.538064
164,24,0.076203
164,25,5.625675
164,29,2.675453
165,2,5.83896
165,5,-0.872482
165,6,4.542737
165,12,5.932573
165,24,-0.005051
165,25,5.679416
165,29,2.760033
166,2,6.033968
166,5,-1.569097
166,6,4.863829
166,12,6.127801
166,19,1.396663
166,24,-0.439426
166,25,6.285853
166,29,3.155072
167,2,6.190404
167,5,-1.773681
167,6,4.825287
167,12,6.393697
167,19,1.065536
167,24,-0.286191
167,25,6.76883
167,29,3.677853
168,2,6.275611
168,5,-1.933033
168,6,4.8101
168,12,6.54128
168,19,0.867204
168,24,-0.226336
168,25,7.068613
168,29,3.995846
169,2,6.359933
169,5,-1.819847
169,6,4.879144
169,12,6.608047
169,19,0.965116
169,24,-0.19366
169,25,7.035275
169,29,3.916536
170,2,6.24341
170,5,-2.068491
170,6,4.777568
170,12,6.528987
170,19,0.76567
170,24,-0.264147
170,25,7.17073
170,29,4.121748
171,2,6.185727
171,5,-2.456151
171,6,4.876287
171,12,6.445073
171,19,0.762863
171,24,-0.579817
171,25,7.316329
171,29,4.198132
172,2,6.245687
172,5,-2.228877
172,6,4.805412
172,12,6.536483
172,19,0.717029
172,24,-0.352642
172,25,7.288522
172,29,4.222262
173,2,6.286081
173,5,-1.857077
173,6,4.719593
173,12,6.58982
173,24,-0.081407
173,25,7.115405
173,29,4.108687
174,2,6.184795
174,5,-1.885998
174,6,4.549721
174,12,6.539795
174,24,0.023559
174,25,7.152457
174,29,4.262748
175,2,6.034877
175,5,-1.771558
175,6,4.453918
175,12,6.364097
175,19,0.595435
175,24,0.023512
175,25,6.902949
175,29,4.072147
176,2,6.157597
176,5,-1.633015
176,6,4.670167
176,12,6.404274
176,19,0.91542
176,24,-0.089252
176,25,6.755678
176,29,3.774689
177,2,5.935382
177,5,-1.699106
177,6,4.330298
177,12,6.27863
177,19,0.52608
177,24,0.099332
177,25,6.804267
177,29,4.056055
178,2,5.294465
178,5,-1.790292
178,6,3.895671
178,12,5.617601
178,19,0.366525
178,24,-0.042819
178,25,6.279352
178,29,3.808191
179,2,5.351912
179,5,-1.239763
179,6,3.768666
179,12,5.694608
179,24,0.357669
179,25,6.019472
179,29,3.635408
180,2,5.13828
180,5,-0.392329
180,6,3.373943
180,12,5.494265
180,19,0.449028
180,24,0.915265
180,25,5.327795
180,29,3.203266
181,2,5.320641
181,5,0.483174
181,6,3.344241
181,12,5.65503
181,19,0.725392
181,24,1.423192
181,25,4.884302
181,29,2.778929
182,2,6.347457
182,5,1.845347
182,6,3.95428
182,12,6.604395
182,24,2.141837
182,25,4.736893
182,29,2.231887
183,2,6.104622
183,5,2.068879
183,6,4.181326
183,12,6.115175
183,19,2.269757
183,24,1.651196
183,25,3.895655
183,29,1.209869
184,2,5.634243
184,5,2.495793
184,6,3.555379
184,12,5.730425
184,19,1.92615
184,24,2.108383
184,25,3.396003
184,29,1.126305
185,2,5.286764
185,5,2.73571
185,6,2.943545
185,12,5.534821
185,19,1.381215
185,24,2.619629
185,25,3.252066
185,29,1.397928
186,2,5.610448
186,5,3.52765
186,6,2.885472
186,12,5.921411
186,19,1.427747
186,24,3.290151
186,25,3.149107
186,29,1.342474
187,2,5.317383
187,5,3.459173
187,6,2.252307
187,12,5.852737
187,24,3.79074
187,25,3.392415
187,29,2.02404
188,2,5.750292
188,5,3.163383
188,6,2.432675
188,12,6.403724
188,19,0.333651
188,24,3.92007
188,25,4.185844
188,29,2.716265
189,2,6.296393
189,5,3.007894
189,6,2.5111
189,12,7.14999
189,24,4.34864
189,25,5.150704
189,29,3.657326
190,2,6.09618
190,5,2.213365
190,6,2.232649
190,12,7.115162
190,19,-0.874243
190,24,4.250626
190,25,5.818434
190,29,4.525256
191,2,5.475529
191,5,1.370651
191,6,1.687115
191,12,6.636045
191,19,-1.667101
191,24,4.041733
191,25,6.111328
191,29,5.187263
192,2,4.921452
192,5,1.425247
192,6,1.003729
192,12,6.211561
192,19,-2.23851
192,24,4.369176
192,25,5.863893
192,29,5.39738
193,2,3.700948
193,5,1.987377
193,6,-0.320236
193,12,5.125836
193,24,4.992871
193,25,4.733881
193,29,5.138619
194,2,3.516738
194,5,3.428126
194,6,-0.815215
194,12,4.950549
194,19,-2.761557
194,24,5.904291
194,25,3.672941
194,29,4.3979
195,2,3.695486
195,5,4.324257
195,6,-0.612746
195,12,4.984903
195,24,6.109828
195,25,2.962597
195,29,3.536564
196,2,4.636971
196,5,8.141361
196,6,0.166113
196,12,5.42665
196,19,0.494596
196,24,7.290324
196,25,0.322078
196,29,0.325596
197,2,5.730721
197,5,10.560247
197,6,0.715563
197,12,6.3776
197,19,1.744449
197,24,8.49367
197,29,-0.952911
198,2,5.922429
198,5,8.237232
198,6,0.620689
198,12,6.985368
198,19,0.071505
198,24,8.086978
198,25,1.900558
198,29,1.644582
199,2,6.357954
199,5,7.322686
199,6,0.859012
199,12,7.585732
199,24,7.945103
199,25,3.18668
199,29,2.797895
200,2,5.851623
200,5,5.626179
200,6,0.846938
200,12,7.089748
200,24,6.884329
200,25,3.862062
200,29,3.481509
201,2,3.280764
201,5,3.16938
201,6,-0.700546
201,12,4.595941
201,19,-2.492169
201,24,5.414555
201,25,3.395845
