Epoch,PRN,Raw_Pseudorange,CN0,Elevation
121,2,21109251.586886,33.7,1.231609
121,5,23670479.898785,36.6,0.344108
121,6,22603111.713818,27.2,0.576935
121,12,20109756.128518,28.5,1.455296
121,19,24388025.348647,34.6,0.196543
121,24,23561987.096288,26.7,0.419525
121,25,21562455.344955,32.6,0.751423
121,29,23787657.377998,34.7,0.352091
122,2,21109496.483241,33.2,1.231487
122,5,23669841.901374,35.0,0.344219
122,6,22603674.081985,28.1,0.576817
122,12,20109702.434198,31.6,1.455426
122,19,24388566.427549,35.2,0.196456
122,24,23562596.545142,27.6,0.41941
122,25,21561975.638469,31.4,0.751554
122,29,23787179.765538,33.4,0.352176
123,2,21109757.66065,33.4,1.231361
123,5,23669188.40817,32.4,0.344334
123,6,22604250.951283,32.4,0.576695
123,12,20109635.338111,30.7,1.455552
123,19,24389124.694914,34.8,0.196368
123,24,23563215.06811,29.5,0.419298
123,25,21561499.631429,29.5,0.75168
123,29,23786730.736535,34.6,0.352259
124,2,21110005.069837,35.2,1.231235
124,5,23668534.635763,34.9,0.344451
124,6,22604837.121547,34.0,0.576573
124,12,20109619.23156,32.9,1.455677
124,19,24389676.400999,33.6,0.196279
124,24,23563814.134085,29.1,0.419188
124,25,21561037.130858,30.8,0.751807
124,29,23786265.845285,34.1,0.352344
125,2,21110250.821254,33.7,1.231111
125,5,23667896.603451,37.7,0.344563
125,6,22605396.75003,34.2,0.576452
125,12,20109570.877007,30.2,1.455805
125,19,24390228.229234,35.0,0.196191
125,24,23564425.624615,30.8,0.419075
125,25,21560571.175144,28.0,0.751936
125,29,23785797.481441,34.6,0.352429
126,2,21110505.768935,36.6,1.230987
126,5,23667251.573603,37.2,0.344677
126,6,22605938.300087,29.0,0.576332
126,12,20109532.329476,37.4,1.455933
126,19,24390770.983356,37.6,0.196104
126,24,23565025.039594,27.3,0.418963
126,25,21560080.230718,30.4,0.752065
126,29,23785335.626528,36.1,0.352514
127,2,21110761.79853,36.7,1.230861
127,5,23666589.634493,36.1,0.344794
127,6,22606501.92467,26.4,0.576211
127,12,20109489.175087,37.0,1.456058
127,19,24391317.524176,36.2,0.196016
127,24,23565631.225258,24.0,0.418853
127,25,21559597.575146,27.5,0.752191
127,29,23784877.854966,35.0,0.352597
128,2,21111003.83305,35.3,1.230737
128,5,23665949.665208,36.3,0.344907
128,6,22607071.621929,26.2,0.57609
128,12,20109440.384278,37.0,1.456186
128,19,24391862.04077,34.8,0.195929
128,24,23566227.6039,22.3,0.418739
128,25,21559149.785109,31.0,0.75232
128,29,23784409.665624,34.4,0.352681
129,2,21111253.528215,35.1,1.230614
129,5,23665305.106515,36.4,0.345021
129,6,22607644.512577,27.8,0.575971
129,12,20109403.197864,35.9,1.456314
