Epoch,PRN,PR_Residual
515,2,4.812873
515,6,2.578561
515,12,-13.697599
515,13,5.496076
515,14,7.319649
515,15,-1.441858
515,17,-4.123564
515,19,-6.711043
515,24,-10.366412
515,28,4.370988
516,2,-5.921778
516,6,-7.321883
516,12,-12.960755
516,13,-1.669735
516,14,2.391145
516,15,-5.660733
516,17,-5.61069
516,19,-11.142507
516,24,-15.368156
516,28,-0.901218
517,2,-4.845509
517,6,-4.432159
517,12,-15.24224
517,13,-2.820904
517,14,6.478383
517,15,-8.416111
517,24,-16.17864
517,28,3.143674
518,2,-7.193674
518,6,-13.994392
518,12,-23.667481
518,13,3.419174
518,14,0.958915
518,15,-4.067871
518,24,-27.526649
518,28,-5.668011
519,2,-9.945408
519,6,-21.214015
519,12,-24.580916
519,13,6.403761
519,14,-5.523095
519,15,-0.008105
519,24,-31.419171
519,28,-13.387797
520,2,-12.53252
520,6,-25.762728
520,12,-22.339607
520,14,-10.551837
520,15,2.423636
520,24,-31.52576
521,2,-12.538511
521,6,-26.043023
521,12,-23.687069
521,13,7.159119
521,14,-10.143732
521,15,2.19936
521,19,-37.520305
521,24,-32.822633
521,28,-18.425618
522,2,-10.22757
522,6,-25.544052
522,12,-26.220878
522,14,-9.78855
522,15,4.081817
522,19,-40.033836
522,24,-34.426673
523,2,-8.663684
523,6,-19.941237
523,12,-15.510756
523,14,-9.905494
523,15,4.213666
523,17,-23.105225
523,19,-28.422858
523,24,-22.578697
523,28,-15.836514
524,2,-10.659283
524,6,-16.904212
524,12,-9.240738
524,15,0.145602
524,17,-14.499037
524,19,-19.30029
524,24,-16.336446
524,28,-11.940707
525,2,-10.508044
525,6,-13.900002
525,12,-9.846636
525,17,-9.789144
525,19,-15.257473
525,24,-15.80555
525,28,-7.522315
526,2,-9.711941
526,6,-5.378897
526,12,-23.310709
526,14,13.342421
526,17,1.583114
526,19,-9.338878
526,24,-24.726717
526,28,8.834288
527,2,-3.877308
527,6,3.196702
527,12,-23.458737
527,14,19.868735
527,17,7.740287
527,19,-2.084612
527,24,-20.673675
527,28,16.231052
528,2,-4.648066
528,6,5.334617
528,12,-21.602198
528,14,22.057076
528,17,12.597519
528,19,2.616917
528,24,-18.441466
528,28,19.325637
529,2,-9.958515
529,6,-0.064731
529,12,-22.537433
529,14,19.71113
529,17,10.862515
529,19,-0.892337
529,24,-22.258307
529,28,16.443903
530,2,-16.137542
530,6,-8.523697
530,12,-23.470287
530,17,5.244427
530,19,-8.129289
530,24,-27.308898
530,28,9.895795
531,6,-8.96468
531,12,-20.784035
531,13,-11.247306
531,17,0.653741
531,19,-10.384007
531,24,-24.420004
531,28,5.703801
532,6,-4.141941
532,12,-16.224705
532,15,-13.008401
532,17,1.324059
532,19,-6.495916
532,24,-17.479476
532,28,6.126713
533,6,-1.641718
533,12,-13.280471
533,13,-3.293988
533,15,-8.63304
533,17,0.260205
533,19,-5.211363
533,24,-13.134572
533,28,5.21919
534,6,-0.072835
534,12,-12.244506
534,13,-1.146922
534,14,7.470861
534,17,-0.260977
534,19,-4.599424
534,24,-11.169952
534,28,5.091367
535,2,0.78242
535,6,0.934994
535,12,-11.794084
535,13,0.677768
535,14,7.182209
535,17,-0.999594
535,19,-4.552396
535,24,-10.040921
535,28,4.851887
536,6,-0.402571
536,12,-11.253199
536,13,0.581845
536,14,5.870948
