Epoch,PRN,Raw_Pseudorange,CN0,Elevation
515,2,22221035.933217,29.9,0.670158
515,6,20981822.523556,28.4,0.991411
515,12,22770299.789501,27.6,0.487051
515,13,25036347.337805,25.1,0.13114
515,14,23722511.684175,33.7,0.336795
515,15,25204961.096278,25.9,0.14198
515,17,22535048.448291,35.4,0.630958
515,19,20597253.560546,37.8,1.064654
515,24,20964880.648109,41.1,0.994604
515,28,22913759.460457,33.6,0.53169
516,2,22220508.517836,29.5,0.6703
516,6,20981550.544462,27.2,0.99151
516,12,22769801.463633,25.7,0.48715
516,13,25036925.254116,23.0,0.131042
516,14,23723003.274259,32.2,0.336705
516,15,25205492.263455,23.8,0.141903
516,17,22535552.323328,25.0,0.630846
516,19,20597558.974257,37.8,1.064521
516,24,20964776.55756,40.8,0.994654
516,28,22914112.548163,34.4,0.531605
517,2,22219984.348196,32.2,0.670436
517,6,20981265.599857,25.9,0.991607
517,12,22769264.694936,31.0,0.48725
517,13,25037545.382504,21.5,0.13094
517,14,23723506.486188,30.7,0.336616
517,15,25205993.067254,25.0,0.141822
517,24,20964672.083107,42.9,0.994704
517,28,22914464.362003,29.9,0.531521
518,2,22219419.798751,30.3,0.670585
518,6,20981012.536799,26.7,0.991707
518,12,22768758.603721,30.1,0.487349
518,13,25038166.226351,29.8,0.130848
518,14,23724020.587053,21.9,0.336522
518,15,25206441.223746,25.3,0.141751
518,24,20964561.413826,42.7,0.994757
518,28,22914868.456695,22.1,0.531431
519,2,22218909.083229,30.6,0.670727
519,6,20980737.74822,26.3,0.991806
519,12,22768258.672433,26.4,0.487448
519,13,25038777.315526,24.1,0.130751
519,14,23724495.285326,24.5,0.336433
519,15,25206954.591702,25.3,0.141674
519,24,20964458.108537,45.0,0.994808
519,28,22915276.285734,22.0,0.531346
520,2,22218386.100203,31.1,0.670868
520,6,20980474.686188,24.5,0.991906
520,12,22767756.978673,24.0,0.487548
520,14,23724986.508956,24.4,0.336345
520,15,25207445.222024,27.2,0.141596
520,24,20964350.650096,45.4,0.994858
521,2,22217869.486507,30.9,0.671009
521,6,20980222.198987,24.9,0.992001
521,12,22767221.187187,23.8,0.487652
521,13,25039997.277698,21.2,0.130555
521,14,23725495.77611,25.2,0.336251
521,15,25207940.703506,25.6,0.141522
521,19,20599125.724606,17.3,1.063848
521,24,20964241.760737,41.9,0.994913
521,28,22916027.063902,20.1,0.531173
522,2,22217386.49938,37.8,0.671144
522,6,20979977.250281,24.8,0.992095
522,12,22766710.017959,25.9,0.487759
522,14,23725978.135029,25.1,0.336163
522,15,25208412.854048,24.6,0.141443
522,19,20599378.735313,33.3,1.063725
522,24,20964136.815128,37.2,0.994968
523,2,22216855.367103,37.6,0.671288
523,6,20979723.10531,25.7,0.992192
523,12,22766204.345549,24.2,0.487858
523,14,23726488.466647,21.7,0.336069
523,15,25208910.604059,24.1,0.141369
523,17,22538946.373228,27.3,0.630055
523,19,20599682.805357,34.1,1.063585
523,24,20964040.071121,26.2,0.99502
523,28,22916682.47663,20.2,0.531001
524,2,22216322.053548,32.0,0.671431
524,6,20979443.116566,24.9,0.99229
524,12,22765672.532713,26.8,0.48796
524,15,25209388.181618,24.6,0.141294
524,17,22539422.170865,27.5,0.629942
524,19,20599993.715887,38.5,1.063451
524,24,20963945.647993,26.8,0.995073
524,28,22917032.056842,23.6,0.530915
525,2,22215797.430202,33.1,0.671572
525,6,20979200.61089,24.7,0.992389
525,12,22765179.703664,28.9,0.488058
525,17,22539907.252018,30.3,0.629828
525,19,20600299.513502,39.2,1.063316
525,24,20963851.538968,25.9,0.995123
525,28,22917386.732517,27.4,0.530828
526,2,22215282.71858,33.8,0.671712
526,6,20978912.246042,23.7,0.992484
526,12,22764649.391547,28.2,0.488162
526,14,23728023.178397,22.5,0.335796
526,17,22540384.25372,32.6,0.629716
526,19,20600600.233105,38.4,1.063184
526,24,20963709.755949,25.9,0.995177
526,28,22917727.919174,27.2,0.530741
527,2,22214764.342412,30.5,0.671854
527,6,20978644.489901,24.7,0.992582
527,12,22764121.435209,27.4,0.488266
527,14,23728481.211712,27.0,0.335709
527,17,22540850.104732,33.4,0.629608
527,19,20600914.389375,35.0,1.063054
