Epoch,PRN,PR_Residual
1500,2,97.0393744809987
1500,6,92.02295619874243
1500,12,90.47210497371148
1500,14,106.79258820119072
1500,17,94.03097919131284
1500,19,90.27301121032951
1500,24,90.83906820352233
1500,28,110.01024328934896
1501,2,73.6947354857801
1501,6,59.40099131431232
1501,12,68.66236916815488
1501,14,74.2104173320987
1501,17,59.38355683782155
1501,19,58.35247465846472
1501,24,78.8104204957992
1501,28,77.68678679775029
1502,2,82.0154301932267
1502,6,72.89490096523221
1502,12,66.17917434889958
1502,14,81.24714471035311
1502,17,73.40948722068096
1502,19,74.0640529491766
1502,24,78.84898594054707
1502,28,90.26243729686036
1503,2,101.77494289676471
1503,6,102.42755528709476
1503,12,98.14642669836611
1503,14,110.22324589238107
1503,17,104.43440319751039
1503,19,102.29015516115354
1503,24,99.893987332
1503,28,115.82848327843047
1504,2,78.90087974648458
1504,6,69.32671294343467
1504,12,76.07984645006077
1504,14,78.12096469900466
1504,17,68.51044920852888
1504,19,69.9974729770636
1504,24,88.13264252056842
1504,28,83.77757254393904
1505,2,68.05064994240834
1505,6,69.80057020548774
1505,12,74.39839486856664
1505,14,61.3940857146226
1505,15,99.02664699696811
1505,17,63.16239971740128
1505,19,75.95382949678172
1505,24,87.54901170355545
1505,28,65.19314893547046
1506,2,114.63142035390948
1506,6,124.90068913548708
1506,12,107.19848093845712
1506,14,104.02495710265474
1506,17,115.24623775392399
1506,19,125.91391370672262
1506,24,125.2107858594901
1506,28,124.62913681350801
1507,2,161.42499698029755
1507,6,171.16569324798715
1507,14,125.27747535843835
1507,17,113.4201094960844
1507,19,137.76329825983896
1507,24,140.0807347009617
1507,28,141.32849548175523
1508,2,149.68922478878426
1508,6,161.00297553549345
1508,14,146.27676546942394
1508,17,130.0080416588376
1508,19,144.64166618682358
1508,24,134.7210600245434
1508,28,153.31704620615088
1509,2,85.18169470651227
1509,6,93.40967108317835
1509,12,59.74823309841747
1509,14,81.04535675271504
1509,17,64.59099914879795
1509,19,76.51375939752148
1509,24,71.92173528696355
1509,28,85.44708359127443
1510,2,84.19071492721937
1510,6,91.43440453907145
1510,12,73.14473579009622
1510,14,68.38576989202862
1510,17,62.76965571237902
1510,19,75.98984545862645
1511,2,111.29060476043756
1511,6,126.262722461029
1511,12,128.1380792764221
1511,14,121.68701870292784
1511,17,130.46513188974876
1511,19,132.84435200516813
1512,2,108.51352834506307
1512,6,124.18103054245714
1512,12,134.98924814149964
1512,14,119.26990754317505
1512,17,138.07945827870853
1512,19,138.87855721530556
1512,28,130.81026631569225
1513,6,121.19062707322011
1513,12,136.50662971690002
1513,14,114.79315483874768
1513,17,131.05001103276146
1513,19,134.56015164743744
1513,24,124.56566645967787
1513,28,125.32875782344388
1514,6,112.81397990413753
1514,12,120.1694194165401
1514,14,111.4265613450869
1514,17,122.11525677781005
1514,19,122.91829618661386
1514,28,120.43300003487195
1515,6,103.51059365179657
1515,12,107.9538981354822
1515,14,103.63137875489502
1515,17,110.17634602267351
1515,19,111.9636732585898
1515,24,102.30751842412265
1515,28,110.59852244758706
1516,2,89.75836435934418
1516,6,100.71087070939298
1516,12,102.27090717001104
1516,14,101.0784983656397
1516,17,106.02286883368038
1516,19,107.19195177516693
1516,24,98.04316056194962
1516,28,106.60557993263802
1517,2,120.08624186949692
1517,6,121.89662925064557
1517,12,122.82510193078718
1517,14,114.4048984422066
1517,17,117.46087228618521
1517,19,125.0883199971843
1517,24,123.6416227664508
1517,28,123.11491840756422
1518,6,122.25949352734047
1518,12,125.7656240310884
1518,14,122.54891093252117
1518,17,121.76621341686119
1518,19,124.41899199082565
1518,24,122.00754837799276
1518,28,130.75737424811183
1519,2,95.62718542454868
1519,6,102.84281407605428
1519,12,106.24518233839557
1519,14,108.18172045346606
1519,17,106.39429259875571
1519,19,105.06329777286668
1519,24,100.87113527389887
1519,28,112.90723834106409
1520,6,76.36053401424788
1520,12,87.65454956245694
1520,14,87.13067687072439
1520,17,85.85077123519437
1520,19,84.22473067463446
1520,24,96.39222041706444
1520,28,96.68343840626362
1521,2,96.05520420187919
1521,6,93.60782559759426
1521,12,101.62747244461623
1521,14,99.83913765067759
1521,17,101.95866757359695
1521,19,101.01989803365329
1521,24,113.10242995977082
1521,28,112.87988223692753
1522,2,93.72738047342322
1522,6,100.14077702414588
1522,12,99.45851124423092
1522,14,102.85722889194287
1522,17,104.94910585565646
1522,19,104.34374756593803
1522,24,101.74920055657178
1522,28,108.21852498328685
1523,6,103.67088374673543
1523,12,102.57990601488065
1523,14,105.78474582007398
1523,17,109.24032544987001
1523,19,107.93867059023538
1523,24,104.60177376511139
1523,28,111.1486344631792
1524,2,100.75791268431483
1524,6,109.37612500380648
1524,12,109.87065917773411
1524,14,108.15412528606332
1524,17,112.3722188677096
1524,19,112.30581703058292
1524,24,108.85073527950945
1524,28,113.84049488273604
1525,2,95.60179304937957
1525,6,105.25102405224698
1525,12,104.51877627777432
1525,14,105.97245721326317
1525,17,109.67742474129224
1525,19,109.17197231863615
1525,24,104.28492558477356
1525,28,110.9534087356115
1526,2,98.80022236417238
1526,6,107.49666685238421
1526,12,107.6838081275808
1526,17,114.3973619619829
1526,19,112.44858931831811
1526,24,107.20051757030834
1527,2,99.46304582208505
1527,6,108.43486526910388
1527,12,110.69841861047888
1527,17,114.97179027641624
1527,19,113.65759630084861
1527,24,108.33608048950487
1527,28,115.09333954187255
1528,2,91.96990500801004
1528,6,100.7199500331131
1528,12,102.26388510581909
1528,14,104.55872014978895
1528,17,109.22496810901468
1528,19,106.56106829335806
1528,24,101.27583334780557
1528,28,109.3157931655837
1529,2,99.99531933977867
1529,6,109.51882509879854
1529,12,112.57263526614257
1529,17,116.14060975485826
1529,19,115.07765304830657
1529,24,109.00497624799166
1529,28,115.7606390440056
1530,2,43.54887164637469
1530,6,51.523225418401545
1530,12,63.98995126306433
1530,14,39.056103464593825
1530,17,57.29710470914259
1530,19,69.54708178932125
1530,24,61.97558661620137
1530,28,49.34274165766003
1531,2,54.5308822292371
1531,6,62.98289993415239
1531,12,77.02679933386867
1531,14,50.17884544176213
1531,17,71.58708247204491
1531,19,83.48815351314283
1531,24,72.80833930920875
1531,28,63.24186510135909
1532,2,73.2575419831791
1532,6,82.54346668866917
1532,12,92.14574436903288
1532,14,69.71019320735596
1532,17,94.53963940858546
1532,19,103.38026513145239
1532,24,89.4349928121654
1532,28,84.93500224506732
1533,2,48.58591889822115
1533,6,52.33443828205596
1533,12,46.961771939675046
1533,14,40.822140206436195
1533,17,49.532464357310666
1533,19,57.21440278997724
1533,24,49.78479266045522
1533,28,52.4336984783042
1534,2,24.08744878524901
1534,6,23.88060994099115
1534,12,16.31050088823671
1534,14,16.85391864630246
1534,17,24.928978737581758
1534,19,33.760337406204904
1534,24,25.684001860874837
1534,28,23.20859805721903
1535,2,65.84705873365071
1535,6,73.8019468504918
1535,12,76.3604200087249
1535,14,67.83233832307617
1535,17,85.50936371751477
1535,19,90.6350424003918
1535,24,72.88982215611745
1535,28,80.72376574318756
1536,2,50.23278921591078
1536,6,58.65668415276437
1536,12,62.853473995356424
1536,14,54.44667162209183
1536,17,71.03353170632366
1536,19,76.61884872368186
1536,24,59.54501297871164
1536,28,61.456202139717035
1537,2,64.91530977880365
1537,6,71.79235559071708
1537,12,80.97484494490595
1537,17,89.57721410743437
1537,19,94.63641622923781
1537,24,75.32411483754922
1537,28,83.35601509941993
1538,2,72.45631569382954
1538,6,75.67215055083138
1538,12,84.30012809818298
1538,17,94.46914119277466
1538,19,98.77031992358941
1538,24,79.36024510371135
1538,28,80.88671217122271
1539,2,55.1945497483721
1539,6,58.27819495689893
1539,12,62.56423153554343
1539,17,63.61348559911426
1539,19,78.17274079667197
1539,24,60.976834284004596
1539,28,46.834308763249744
1540,2,53.61081085621505
1540,6,62.69768551906127
1540,12,63.905337176577405
1540,19,72.38071036912034
1540,24,62.92307522569169
1541,2,103.939871935674
1541,6,113.99397401233246
1541,14,71.77691484110748
1541,19,101.67508490209929
1541,24,99.77165475273212
1542,2,157.8659788405864
1542,6,158.27208885686005
1542,12,79.59925590102503
1542,17,80.83047203953811
1542,19,117.061780796612
1542,24,132.80140361024368
1543,2,146.97671418057206
1543,6,152.85972183351114
1543,12,89.10978421880175
1543,14,99.82816275176975
1543,19,127.38343996272599
1543,24,132.4837902285531
1543,28,117.93967906733087
1544,2,128.7976219485788
1544,6,137.67670245269085
1544,12,96.26801686074693
1544,14,87.84075279093516
1544,17,96.64356292173014
1544,19,122.6202904246225
1544,24,128.14526203994012
1544,28,105.00606640631773
1545,2,117.39719202454332
1545,6,127.94700713583555
1545,12,119.05039074616181
1545,17,111.60984677394116
1545,19,129.46876297193123
1545,28,111.24948297875581
1546,2,69.96282307531433
1546,6,73.45095732572682
1546,12,85.70899956805587
1546,14,53.3436976018313
1546,17,67.63842294635378
1546,19,79.26304731345459
1546,28,67.48486423301581
1547,2,86.71717842870501
1547,6,93.32356948393995
1547,12,109.87627214889501
1547,14,83.9495708005071
1547,17,102.05008911308192
1547,19,108.06817953263894
1547,28,99.84136523417281
1548,2,82.41352984897621
1548,6,89.39081162889384
1548,12,106.06889853861345
1548,14,85.15780690076234
1548,17,101.63084684364362
1548,19,105.10525803954849
1548,24,99.92033637858677
1548,28,98.94794498682876
1549,2,97.6426284127915
1549,6,100.56879689018042
1549,12,120.71886986347725
1549,14,107.56009777526197
1549,17,121.87255477495016
1549,19,120.96193965372169
1549,24,112.87557550066663
1549,28,118.01279672100944
1550,2,90.58169264562206
1550,6,92.89974144578885
1550,12,113.57462780756815
1550,14,97.27619368860657
1550,17,109.35189784699517
1550,19,111.75696942377037
1550,24,104.91834810156412
1550,28,109.14838453405805
1551,2,100.17180411669005
1551,6,99.6624592290128
1551,12,119.21557309424968
1551,14,109.76760300331793
1551,17,122.39655579082753
1551,19,118.98001494276792
1551,24,112.30209869543626
1551,28,119.50571868355762
1552,2,92.4022079665827
1552,6,92.98963799524002
1552,12,108.87525918615123
1552,14,100.54686273916093
1552,17,108.33059371253931
1552,19,106.89099528315401
1552,24,102.68120923651128
1552,28,112.24884525458314
1553,2,97.05582516621931
1553,6,100.2214321247573
1553,12,105.00316229847499
1553,14,105.62171598521515
1553,17,105.44619097369146
1553,19,108.12982375775668
1553,24,103.0238569394759
1554,2,78.6568727289498
1554,6,82.00044026194088
1554,12,88.13805061166815
1554,14,82.34091786999099
1554,17,85.66730827523737
1554,19,87.87805271373637
1554,24,85.88855484576882
1555,2,77.06103019616255
1555,6,79.68703742109577
1555,12,86.14626513706753
1555,14,80.62344631208478
1555,17,83.71588576530972
1555,19,85.76601873011516
1555,24,83.76252601241096
1556,2,63.01309110091673
1556,6,65.47409755422137
1556,12,71.12161391639083
1556,14,65.50879260421345
1556,17,69.00736933176668
1556,19,70.58834567862962
1556,24,69.04747747228703
1557,2,63.85330961449389
1557,6,65.70377644158282
1557,12,73.62817815416756
1557,14,68.11516501105652
1557,17,69.35354839380734
1557,19,70.21896328349231
1557,24,69.37591109711047
1558,2,95.64510169621481
1558,6,94.19853628589604
1558,12,97.50864865564479
1558,14,105.74990409773632
1558,17,101.03153018528232
1558,19,100.96037882666027
1558,24,94.54414860581917
1559,2,78.00238348499886
1559,6,79.54916589086045
1559,12,82.92448779369738
1559,14,84.94294621340573
1559,17,84.0271053940995
1559,19,83.79171507810233
1559,24,79.90602208692849
