Epoch,PRN,PR_Residual
1500,2,-5.54324
1500,6,-13.397265
1500,12,-21.748181
1500,14,2.515653
1500,17,-15.035781
1500,19,-21.529015
1500,24,-20.26209
1500,28,-3.370378
1501,2,-5.031419
1501,6,-12.9854
1501,12,-22.107918
1501,14,2.971151
1501,17,-15.033589
1501,19,-21.505091
1501,24,-20.243715
1501,28,-2.959649
1502,2,-1.674778
1502,6,-7.322097
1502,12,-18.11126
1502,14,4.96258
1502,17,-10.078318
1502,19,-15.011768
1502,24,-15.173905
1502,28,0.453952
1503,2,-1.022903
1503,6,-4.661077
1503,12,-14.814955
1503,14,5.407923
1503,17,-6.516252
1503,19,-10.676006
1503,24,-12.216352
1503,28,1.928614
1504,2,-0.503483
1504,6,-4.48534
1504,12,-15.504806
1504,14,5.81518
1504,17,-6.916525
1504,19,-11.107429
1504,24,-12.453342
1504,28,2.185752
1505,2,2.795606
1505,6,1.726047
1505,12,-8.708814
1505,14,6.531313
1505,15,-0.399017
1505,17,-0.949092
1505,19,-2.856221
1505,24,-5.226539
1505,28,4.946542
1506,2,27.199944
1506,6,33.949562
1506,12,12.638677
1506,14,16.002869
1506,17,20.254537
1506,19,28.925409
1506,24,25.575271
1506,28,21.677927
1507,2,65.64946
1507,6,68.489894
1507,14,52.157087
1507,17,26.243237
1507,19,36.679645
1507,24,28.852504
1507,28,55.645577
1508,2,38.386172
1508,6,39.180512
1508,14,40.307345
1508,17,13.719481
1508,19,15.063291
1508,24,4.598386
1508,28,39.313704
1509,2,29.712714
1509,6,29.623393
1509,12,-15.166545
1509,14,28.935372
1509,17,9.494947
1509,19,11.34494
1509,24,5.227043
1509,28,28.425097
1510,2,18.601644
1510,6,22.346723
1510,12,-5.623238
1510,14,19.813596
1510,17,12.238182
1510,19,13.835918
1511,2,-0.822929
1511,6,7.589964
1511,12,-1.095777
1511,14,9.923874
1511,17,13.527329
1511,19,11.266165
1512,2,-6.051804
1512,6,3.455924
1512,12,3.863966
1512,14,4.484301
1512,17,13.655446
1512,19,11.571019
1512,28,6.485136
1513,6,0.656847
1513,12,4.722168
1513,14,1.350431
1513,17,10.770287
1513,19,8.977225
1513,24,-0.624388
1513,28,3.130778
1514,6,-1.105403
1514,12,-2.454965
1514,14,3.167908
1514,17,4.986853
1514,19,2.205011
1514,28,3.072912
1515,6,-1.412562
1515,12,-4.582946
1515,14,3.720894
1515,17,3.04222
