Epoch,PRN,Raw_Pseudorange,CN0,Elevation
1500,2,21743529.06495,25.0,0.81207
1500,6,20776853.679453,39.6,1.074577
1500,12,22286749.701428,28.7,0.58725
1500,14,24216196.265405,24.8,0.249295
1500,17,23019129.476689,37.6,0.523631
1500,19,20933443.97615,39.9,0.936676
1500,24,20926596.406008,42.7,1.023389
1500,28,23275209.799149,24.3,0.448005
1501,2,21743127.011933,26.2,0.812212
1501,6,20776705.858659,37.4,1.07464
1501,12,22286272.403072,29.4,0.587355
1501,14,24216709.197105,25.9,0.249204
1501,17,23019626.825345,36.6,0.523525
1501,19,20933811.198532,40.1,0.93655
1501,24,20926614.083078,44.1,1.023396
1501,28,23275604.313671,25.3,0.447917
1502,2,21742673.341172,26.6,0.812355
1502,6,20776568.158991,37.6,1.074703
1502,12,22285771.37242,31.6,0.587463
1502,14,24217242.144205,27.1,0.249113
1502,17,23020112.988411,34.8,0.523421
1502,19,20934183.446577,37.4,0.936425
1502,24,20926632.876963,39.7,1.023405
1502,28,23275993.052172,26.4,0.44783
1503,2,21742208.188168,26.7,0.812502
1503,6,20776421.995967,35.5,1.074769
1503,12,22285296.325143,34.5,0.587566
1503,14,24217764.499023,25.3,0.249024
1503,17,23020623.669033,33.7,0.523313
1503,19,20934558.015501,37.3,0.936297
1503,24,20926655.195791,41.0,1.023412
1503,28,23276367.917749,24.1,0.447744
1504,2,21741770.205153,25.5,0.812643
1504,6,20776284.086896,32.6,1.074831
1504,12,22284805.555219,33.8,0.587674
1504,14,24218308.928366,25.4,0.248932
1504,17,23021113.828199,35.3,0.523208
1504,19,20934924.365372,38.2,0.936172
1504,24,20926673.169515,43.2,1.02342
1504,28,23276766.637774,24.4,0.447656
1505,2,21741396.962446,23.6,0.812784
1505,6,20776144.694557,31.8,1.074892
1505,12,22284319.898209,27.9,0.587781
1505,14,24218801.792316,27.8,0.248841
1505,15,25695196.292966,17.1,0.067121
1505,17,23021612.084266,35.0,0.523103
1505,19,20935291.605204,36.3,0.936047
1505,24,20926688.77001,43.3,1.023428
1505,28,23277177.660203,26.9,0.447568
1506,2,21740942.837979,29.6,0.812929
1506,6,20775993.069615,32.2,1.074957
1506,12,22283818.117198,22.7,0.587886
1506,14,24219282.127009,26.3,0.248751
1506,17,23022119.100343,36.7,0.522996
1506,19,20935657.431569,34.6,0.935921
1506,24,20926707.424293,43.6,1.023435
1506,28,23277544.969836,25.4,0.447481
1507,2,21740504.750263,37.3,0.813069
1507,6,20775863.763501,30.0,1.075015
1507,14,24219835.752617,28.4,0.248658
1507,17,23022604.373448,35.5,0.522892
1507,19,20936041.37126,36.4,0.935797
1507,24,20926724.124151,43.1,1.023449
1507,28,23277939.711212,26.0,0.447391
1508,2,21740051.585558,34.4,0.813213
1508,6,20775734.370137,30.6,1.075079
1508,14,24220397.684529,25.5,0.248567
1508,17,23023103.362424,36.4,0.522785
1508,19,20936406.342564,33.7,0.93567
1508,24,20926744.331503,43.0,1.023454
1508,28,23278362.844091,27.2,0.447304
1509,2,21739611.334015,30.3,0.813358
1509,6,20775571.420004,30.4,1.075144
1509,12,22282353.799627,18.7,0.588209
1509,14,24220900.879008,25.9,0.248478
1509,17,23023583.452815,35.1,0.52268
1509,19,20936776.130128,37.2,0.935544
1509,24,20926760.961561,36.8,1.02346
1509,28,23278748.2147,27.6,0.447218
1510,2,21739177.835706,24.5,0.813504
1510,6,20775448.204016,32.3,1.075212
1510,12,22281889.117779,22.9,0.588311
1510,14,24221424.019085,27.1,0.248391
1510,17,23024096.105311,38.0,0.522576
1510,19,20937154.468299,43.7,0.935419
1511,2,21738709.785966,23.8,0.813647
1511,6,20775297.05023,32.7,1.075275
1511,12,22281408.486431,22.5,0.588416
1511,14,24221972.270026,26.2,0.248299
1511,17,23024594.884885,41.1,0.522468
1511,19,20937524.639767,38.4,0.935291
1512,2,21738311.310244,24.6,0.813793
1512,6,20775154.289999,32.7,1.075338
1512,12,22280889.796159,25.9,0.588524
1512,14,24222452.482568,30.7,0.248209
1512,17,23025087.399831,40.9,0.522362
1512,19,20937896.329405,40.2,0.935164
1512,28,23279884.60778,30.1,0.446959
1513,6,20775015.805071,33.8,1.075401
1513,12,22280392.464954,25.4,0.588631
1513,14,24222988.221703,26.6,0.248118
1513,17,23025584.172629,42.6,0.522255
1513,19,20938265.38406,40.1,0.935037
1513,24,20926885.870219,18.2,1.02349
1513,28,23280266.558146,32.8,0.446871
1514,6,20774878.140303,33.8,1.075463
1514,12,22279908.814719,31.3,0.588738
1514,14,24223504.992451,29.6,0.248027
1514,17,23026078.764151,39.6,0.52215
1514,19,20938634.368914,41.5,0.934912
1514,28,23280663.114344,32.8,0.446783
1515,6,20774732.186682,35.9,1.075527
1515,12,22279423.506713,33.6,0.588843
1515,14,24224042.581309,28.2,0.247937
1515,17,23026572.570412,38.4,0.522044
1515,19,20939006.163254,39.8,0.934786
1515,24,20926916.739655,20.9,1.023504
1515,28,23281043.895545,32.8,0.446696
1516,2,21736597.838463,20.7,0.814368
1516,6,20774588.431788,36.9,1.075589
1516,12,22278934.39456,35.9,0.58895
1516,14,24224567.361707,28.7,0.247846
1516,17,23027069.762016,35.0,0.521937
1516,19,20939387.939117,36.3,0.934659
1516,24,20926915.064434,29.3,1.023512
1516,28,23281445.163302,33.6,0.446609
1517,2,21736132.947213,22.5,0.814512
1517,6,20774450.906622,37.0,1.075653
1517,12,22278446.416671,33.3,0.589056
1517,14,24225096.277807,28.6,0.247755
1517,17,23027571.403425,38.5,0.521832
1517,19,20939752.282213,35.0,0.934533
1517,24,20926924.452651,38.4,1.023519
1517,28,23281817.603299,32.9,0.446522
1518,6,20774301.724711,36.7,1.075718
1518,12,22277965.349069,31.1,0.589159
1518,14,24225605.736914,29.7,0.247666
1518,17,23028068.263475,41.9,0.521726
1518,19,20940119.03344,40.2,0.934406
1518,24,20926948.237298,43.3,1.023523
1518,28,23282205.626341,34.8,0.446436
1519,2,21735271.429963,20.8,0.814801
1519,6,20774158.406072,37.3,1.075783
1519,12,22277499.463156,30.9,0.589263
1519,14,24226107.866929,30.5,0.247577
1519,17,23028561.406628,38.7,0.52162
1519,19,20940488.053194,39.2,0.934281
1519,24,20926969.509113,43.6,1.023529
1519,28,23282592.340616,32.1,0.44635
1520,6,20774013.673966,38.5,1.075846
1520,12,22277000.980236,32.1,0.589369
1520,14,24226637.376336,31.7,0.247487
1520,17,23029062.733934,31.5,0.521513
1520,19,20940871.853283,33.7,0.934153
1520,24,20926993.572963,43.1,1.023536
1520,28,23282992.037853,28.1,0.446263
1521,2,21734351.384683,20.5,0.815091
1521,6,20773877.806571,38.5,1.075909
1521,12,22276520.348888,34.2,0.589475
1521,14,24227149.959032,29.1,0.247396
1521,17,23029569.627859,28.7,0.521407
1521,19,20941242.356306,30.8,0.934026
1521,24,20927013.291709,43.6,1.023544
1521,28,23283384.109346,30.8,0.446175
1522,2,21733936.278903,22.3,0.815233
1522,6,20773734.924188,36.5,1.075972
1522,12,22276023.401588,34.4,0.589583
1522,14,24227668.405001,25.8,0.247307
1522,17,23030039.213218,35.6,0.521305
1522,19,20941605.809441,35.4,0.933904
1522,24,20927036.779702,44.4,1.02355
1522,28,23283751.471329,26.0,0.44609
1523,6,20773593.298221,37.7,1.076036
